Description  Resource  Path  Location  Type
Agent name must be one of the names specified in the pattern.  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 4  LIRAs Problem
Agent name must be one of the names specified in the pattern.  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 4  LIRAs Problem
Agent name must be one of the names specified in the pattern.  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 4  LIRAs Problem
Agent name must be one of the names specified in the pattern.  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 4  LIRAs Problem
Agent name must be one of the names specified in the pattern.  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 4  LIRAs Problem
Agent name must be one of the names specified in the pattern.  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 4  LIRAs Problem
Agent name must be one of the names specified in the pattern.  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 5  LIRAs Problem
Agent name must be one of the names specified in the pattern.  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 5  LIRAs Problem
Agent name must be one of the names specified in the pattern.  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 5  LIRAs Problem
Agent name must be one of the names specified in the pattern.  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 5  LIRAs Problem
mismatched input ',' expecting ':'  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 4  LIRAs Problem
missing ':' at '\n'  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 5  LIRAs Problem
missing ':' at '\n\t'  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 4  LIRAs Problem
missing EOF at 'locations:'  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 6  LIRAs Problem
required (...)+ loop did not match anything at input 'Nurse'  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 4  LIRAs Problem
required (...)+ loop did not match anything at input 'RoboticArm'  ITER2_20260119_162557.LIRAs  /MyLIRAsFiles  line 5  LIRAs Problem
